año,mes,día,hora,día_d_año,semana_d_año,día_d_semana,Cuatrimestre,X,Y,hurto_simple,robo,robo_agr,hurto_agr,hurto_casa,hurto_auto
2014,9,25,4,268,39,3,3,-77.03496949,-12.09408042,1.0,0.0,0.0,0.0,0.0,0.0
2014,2,18,16,49,8,1,1,-77.03499578,-12.09405758,1.0,0.0,0.0,0.0,0.0,0.0
2014,12,22,18,356,52,0,4,-77.03499578,-12.09405758,0.0,0.0,0.0,1.0,0.0,0.0
2014,6,22,21,173,25,6,2,-77.00999439,-12.09419486,1.0,0.0,0.0,0.0,0.0,0.0
2014,6,30,19,181,27,0,2,-77.02422394,-12.09407974,1.0,0.0,0.0,0.0,0.0,0.0
2014,10,17,16,290,42,4,4,-77.02422394,-12.09407974,1.0,0.0,0.0,0.0,0.0,0.0
2014,11,6,14,310,45,3,4,-77.02422394,-12.09407974,1.0,0.0,0.0,0.0,0.0,0.0
2014,5,6,14,126,19,1,2,-77.02422394,-12.09407974,1.0,0.0,0.0,0.0,0.0,0.0
2014,7,30,9,211,31,2,3,-77.02669455,-12.09405276,1.0,0.0,0.0,0.0,0.0,0.0
2014,4,23,19,113,17,2,2,-77.04392553,-12.09390256,1.0,0.0,0.0,0.0,0.0,0.0
2014,11,30,1,334,48,6,4,-77.01017682,-12.09413723,1.0,0.0,0.0,0.0,0.0,0.0
2014,7,14,10,195,29,0,3,-77.05714128,-12.09373711,1.0,0.0,0.0,0.0,0.0,0.0
2014,2,21,22,52,8,4,1,-77.05714128,-12.09373711,0.0,0.0,0.0,1.0,0.0,0.0
2014,7,20,16,201,29,6,3,-77.0451543,-12.09382281,0.0,1.0,0.0,0.0,0.0,0.0
2014,9,17,8,260,38,2,3,-77.0451543,-12.09382281,1.0,0.0,0.0,0.0,0.0,0.0
2014,2,22,14,53,8,5,1,-77.0451543,-12.09382281,0.0,0.0,0.0,1.0,0.0,0.0
2014,8,19,8,231,34,1,3,-77.03326572,-12.09389252,1.0,0.0,0.0,0.0,0.0,0.0
2014,12,16,17,350,51,1,4,-76.99276115,-12.09408413,0.0,1.0,0.0,0.0,0.0,0.0
2014,12,14,16,348,50,6,4,-76.99276115,-12.09408413,0.0,1.0,0.0,0.0,0.0,0.0
2014,12,16,18,350,51,1,4,-77.00815473,-12.09391058,1.0,0.0,0.0,0.0,0.0,0.0
2014,5,16,8,136,20,4,2,-76.99915406,-12.0939542,1.0,0.0,0.0,0.0,0.0,0.0
2014,6,5,21,156,23,3,2,-76.98660001,-12.09403175,0.0,1.0,0.0,0.0,0.0,0.0
2014,12,25,8,359,52,3,4,-76.99120736,-12.09396853,0.0,0.0,0.0,1.0,0.0,0.0
2014,8,16,20,228,33,5,3,-77.02922409,-12.09357283,1.0,0.0,0.0,0.0,0.0,0.0
2014,10,27,9,300,44,0,4,-76.99641393,-12.09379272,0.0,0.0,0.0,1.0,0.0,0.0
2014,7,14,10,195,29,0,3,-77.03206424,-12.09346273,1.0,0.0,0.0,0.0,0.0,0.0
2014,1,26,18,26,4,6,1,-77.03206424,-12.09346273,0.0,0.0,0.0,1.0,0.0,0.0
2014,5,29,21,149,22,3,2,-77.03156993,-12.09339167,0.0,0.0,1.0,0.0,0.0,0.0
2014,9,8,18,251,37,0,3,-77.03156993,-12.09339167,0.0,0.0,1.0,0.0,0.0,0.0
2014,5,17,22,137,20,5,2,-77.03952389,-12.093312699999998,0.0,0.0,0.0,1.0,0.0,0.0
2014,9,3,9,246,36,2,3,-77.04122575,-12.09326931,1.0,0.0,0.0,0.0,0.0,0.0
2014,11,14,18,318,46,4,4,-77.03864354,-12.09319292,1.0,0.0,0.0,0.0,0.0,0.0
2014,3,10,8,69,11,0,1,-77.02677837,-12.09325193,1.0,0.0,0.0,0.0,0.0,0.0
2014,8,22,17,234,34,4,3,-77.04046477,-12.09314472,1.0,0.0,0.0,0.0,0.0,0.0
2014,5,8,20,128,19,3,2,-77.04046477,-12.09314472,1.0,0.0,0.0,0.0,0.0,0.0
2014,8,4,11,216,32,0,3,-77.02734982,-12.09322983,1.0,0.0,0.0,0.0,0.0,0.0
2014,3,31,20,90,14,0,1,-77.00608617,-12.093379,0.0,0.0,0.0,0.0,0.0,0.0
2014,9,4,11,247,36,3,3,-77.00608617,-12.093379,1.0,0.0,0.0,0.0,0.0,0.0
2014,3,4,19,63,10,1,1,-77.0247923,-12.09324122,1.0,0.0,0.0,0.0,0.0,0.0
2014,4,15,15,105,16,1,2,-77.0247923,-12.09324122,1.0,0.0,0.0,0.0,0.0,0.0
2014,3,6,12,65,10,3,1,-77.0247923,-12.09324122,1.0,0.0,0.0,0.0,0.0,0.0
2014,6,5,14,156,23,3,2,-77.0247923,-12.09324122,1.0,0.0,0.0,0.0,0.0,0.0
2014,2,4,14,35,6,1,1,-77.0247923,-12.09324122,1.0,0.0,0.0,0.0,0.0,0.0
2014,7,17,14,198,29,3,3,-77.03778299,-12.09307294,1.0,0.0,0.0,0.0,0.0,0.0
2014,6,2,12,153,23,0,2,-76.99242994,-12.09338992,1.0,0.0,0.0,0.0,0.0,0.0
2014,5,30,4,150,22,4,2,-76.99242994,-12.09338992,1.0,0.0,0.0,0.0,0.0,0.0
2014,3,17,20,76,12,0,1,-77.00546279,-12.0932633,0.0,0.0,0.0,0.0,1.0,0.0
2014,4,28,19,118,18,0,2,-77.00546279,-12.0932633,1.0,0.0,0.0,0.0,0.0,0.0
2014,12,27,23,361,52,5,4,-76.99696545,-12.09324667,0.0,0.0,1.0,0.0,0.0,0.0
2014,3,12,3,71,11,2,1,-76.99696545,-12.09324667,0.0,0.0,0.0,0.0,0.0,0.0
2014,1,13,18,13,3,0,1,-76.99696545,-12.09324667,0.0,0.0,0.0,0.0,0.0,1.0
2014,5,7,21,127,19,2,2,-76.9958121,-12.09325294,1.0,0.0,0.0,0.0,0.0,0.0
2014,9,6,15,249,36,5,3,-76.9958121,-12.09325294,1.0,0.0,0.0,0.0,0.0,0.0
2014,10,27,0,300,44,0,4,-76.9958121,-12.09325294,1.0,0.0,0.0,0.0,0.0,0.0
2014,12,31,23,365,1,2,4,-76.9958121,-12.09325294,0.0,0.0,1.0,0.0,0.0,0.0
2014,12,31,22,365,1,2,4,-76.9958121,-12.09325294,0.0,0.0,1.0,0.0,0.0,0.0
2014,1,5,12,5,1,6,1,-77.02189482,-12.09304292,0.0,0.0,0.0,1.0,0.0,0.0
2014,2,21,19,52,8,4,1,-77.00941497,-12.09312489,1.0,0.0,0.0,0.0,0.0,0.0
2014,9,30,11,273,40,1,3,-77.00941497,-12.09312489,1.0,0.0,0.0,0.0,0.0,0.0
2014,10,4,8,277,40,5,4,-77.00941497,-12.09312489,0.0,0.0,0.0,0.0,0.0,1.0
2014,7,23,21,204,30,2,3,-77.04403993,-12.09285487,0.0,0.0,0.0,0.0,0.0,0.0
2014,12,22,20,356,52,0,4,-77.04403993,-12.09285487,0.0,0.0,0.0,0.0,0.0,0.0
2014,7,9,20,190,28,2,3,-77.04403993,-12.09285487,0.0,0.0,0.0,0.0,0.0,0.0
2014,10,9,23,282,41,3,4,-76.99554877,-12.09318947,0.0,0.0,0.0,1.0,0.0,0.0
2014,3,2,17,61,9,6,1,-76.99554877,-12.09318947,0.0,0.0,0.0,0.0,1.0,0.0
2014,3,2,16,61,9,6,1,-76.99554877,-12.09318947,0.0,0.0,0.0,0.0,1.0,0.0
2014,4,4,23,94,14,4,2,-76.99554877,-12.09318947,0.0,0.0,0.0,1.0,0.0,0.0
2014,7,31,23,212,31,3,3,-76.99554877,-12.09318947,0.0,0.0,0.0,0.0,1.0,0.0
2014,4,29,12,119,18,1,2,-76.99554877,-12.09318947,1.0,0.0,0.0,0.0,0.0,0.0
2014,4,29,12,119,18,1,2,-76.99554877,-12.09318947,1.0,0.0,0.0,0.0,0.0,0.0
2014,3,4,22,63,10,1,1,-76.99554877,-12.09318947,1.0,0.0,0.0,0.0,0.0,0.0
2014,9,7,19,250,36,6,3,-76.99554877,-12.09318947,1.0,0.0,0.0,0.0,0.0,0.0
2014,9,7,19,250,36,6,3,-76.99554877,-12.09318947,1.0,0.0,0.0,0.0,0.0,0.0
2014,12,15,8,349,51,0,4,-76.99554877,-12.09318947,1.0,0.0,0.0,0.0,0.0,0.0
2014,1,4,22,4,1,5,1,-76.99554877,-12.09318947,1.0,0.0,0.0,0.0,0.0,0.0
2014,3,25,18,84,13,1,1,-76.99554877,-12.09318947,0.0,0.0,0.0,0.0,0.0,1.0
2014,10,9,11,282,41,3,4,-77.02798979999999,-12.09293991,1.0,0.0,0.0,0.0,0.0,0.0
2014,9,17,20,260,38,2,3,-77.02798979999999,-12.09293991,1.0,0.0,0.0,0.0,0.0,0.0
2014,12,3,20,337,49,2,4,-77.02798979999999,-12.09293991,0.0,0.0,0.0,1.0,0.0,0.0
2014,8,31,9,243,35,6,3,-77.03448985,-12.0928832,1.0,0.0,0.0,0.0,0.0,0.0
2014,3,11,15,70,11,1,1,-77.03448985,-12.0928832,0.0,0.0,0.0,1.0,0.0,0.0
2014,6,21,0,172,25,5,2,-77.02229890000002,-12.09288398,0.0,1.0,0.0,0.0,0.0,0.0
2014,3,7,23,66,10,4,1,-77.03708483,-12.09267593,0.0,0.0,1.0,0.0,0.0,0.0
2014,6,17,21,168,25,1,2,-77.03708483,-12.09267593,1.0,0.0,0.0,0.0,0.0,0.0
2014,6,18,16,169,25,2,2,-77.03708483,-12.09267593,1.0,0.0,0.0,0.0,0.0,0.0
2014,9,23,10,266,39,1,3,-77.04764475,-12.09251599,1.0,0.0,0.0,0.0,0.0,0.0
2014,5,10,23,130,19,5,2,-77.0509728,-12.09249019,0.0,0.0,0.0,1.0,0.0,0.0
2014,6,19,15,170,25,3,2,-76.99929431,-12.09285165,0.0,0.0,0.0,1.0,0.0,0.0
2014,12,17,20,351,51,2,4,-77.03626457,-12.0925743,1.0,0.0,0.0,0.0,0.0,0.0
2014,4,28,16,118,18,0,2,-77.0344587,-12.09257969,1.0,0.0,0.0,0.0,0.0,0.0
2014,7,11,10,192,28,4,3,-77.0344587,-12.09257969,0.0,0.0,0.0,1.0,0.0,0.0
2014,10,23,21,296,43,3,4,-77.0344587,-12.09257969,0.0,0.0,0.0,0.0,0.0,0.0
2014,10,23,21,296,43,3,4,-77.0344587,-12.09257969,0.0,0.0,0.0,0.0,0.0,0.0
2014,9,12,19,255,37,4,3,-77.04641206,-12.09246326,1.0,0.0,0.0,0.0,0.0,0.0
2014,2,8,22,39,6,5,1,-77.02794507,-12.09259511,1.0,0.0,0.0,0.0,0.0,0.0
2014,5,14,18,134,20,2,2,-77.02794507,-12.09259511,1.0,0.0,0.0,0.0,0.0,0.0
2014,7,30,21,211,31,2,3,-77.01801490000003,-12.09266312,0.0,0.0,0.0,1.0,0.0,0.0
2014,4,8,22,98,15,1,2,-77.01801490000003,-12.09266312,0.0,0.0,0.0,0.0,0.0,1.0
2014,12,16,19,350,51,1,4,-77.04133492,-12.0924749,0.0,0.0,1.0,0.0,0.0,0.0
2014,6,9,16,160,24,0,2,-77.03406041,-12.0925118,1.0,0.0,0.0,0.0,0.0,0.0
2014,3,15,21,74,11,5,1,-77.02214989,-12.09258996,0.0,0.0,1.0,0.0,0.0,0.0
2014,11,8,15,312,45,5,4,-77.02214989,-12.09258996,1.0,0.0,0.0,0.0,0.0,0.0
2014,3,13,16,72,11,3,1,-77.03543494,-12.09245637,1.0,0.0,0.0,0.0,0.0,0.0
2014,12,29,10,363,1,0,4,-77.03543494,-12.09245637,1.0,0.0,0.0,0.0,0.0,0.0
2014,7,25,17,206,30,4,3,-77.03543494,-12.09245637,1.0,0.0,0.0,0.0,0.0,0.0
2014,1,7,13,7,2,1,1,-77.04651475,-12.09236522,1.0,0.0,0.0,0.0,0.0,0.0
2014,4,13,18,103,15,6,2,-77.03221399,-12.09245272,1.0,0.0,0.0,0.0,0.0,0.0
2014,9,24,11,267,39,2,3,-77.03221399,-12.09245272,1.0,0.0,0.0,0.0,0.0,0.0
2014,6,9,14,160,24,0,2,-77.03221399,-12.09245272,1.0,0.0,0.0,0.0,0.0,0.0
2014,1,6,8,6,2,0,1,-77.05274371,-12.09229304,1.0,0.0,0.0,0.0,0.0,0.0
2014,1,9,19,9,2,3,1,-77.00375337,-12.09261289,0.0,0.0,0.0,1.0,0.0,0.0
2014,11,14,8,318,46,4,4,-77.00375337,-12.09261289,0.0,1.0,0.0,0.0,0.0,0.0
2014,9,12,19,255,37,4,3,-77.03350637,-12.09239608,1.0,0.0,0.0,0.0,0.0,0.0
2014,9,25,0,268,39,3,3,-76.98467594,-12.09271811,0.0,1.0,0.0,0.0,0.0,0.0
2014,8,18,12,230,34,0,3,-76.99587183,-12.09262664,0.0,0.0,0.0,0.0,0.0,1.0
2014,12,31,20,365,1,2,4,-76.99587183,-12.09262664,0.0,0.0,1.0,0.0,0.0,0.0
2014,1,20,7,20,4,0,1,-77.03454278,-12.092328,1.0,0.0,0.0,0.0,0.0,0.0
2014,6,29,18,180,26,6,2,-77.03454278,-12.092328,1.0,0.0,0.0,0.0,0.0,0.0
2014,4,14,23,104,16,0,2,-77.00312374,-12.09252278,0.0,1.0,0.0,0.0,0.0,0.0
2014,5,8,19,128,19,3,2,-77.00312374,-12.09252278,1.0,0.0,0.0,0.0,0.0,0.0
2014,10,1,0,274,40,2,4,-77.00312374,-12.09252278,1.0,0.0,0.0,0.0,0.0,0.0
2014,10,30,12,303,44,3,4,-77.00312374,-12.09252278,1.0,0.0,0.0,0.0,0.0,0.0
2014,11,11,10,315,46,1,4,-77.03286493,-12.09227401,0.0,0.0,0.0,0.0,0.0,1.0
2014,8,17,23,229,33,6,3,-77.03286493,-12.09227401,0.0,0.0,0.0,1.0,0.0,0.0
2014,12,29,12,363,1,0,4,-77.03286493,-12.09227401,1.0,0.0,0.0,0.0,0.0,0.0
2014,2,21,10,52,8,4,1,-77.03123486,-12.09224304,1.0,0.0,0.0,0.0,0.0,0.0
2014,6,27,8,178,26,4,2,-77.01383525,-12.09231488,0.0,0.0,1.0,0.0,0.0,0.0
2014,10,22,20,295,43,2,4,-77.01383525,-12.09231488,1.0,0.0,0.0,0.0,0.0,0.0
2014,12,30,15,364,1,1,4,-77.02507479,-12.09218487,1.0,0.0,0.0,0.0,0.0,0.0
2014,1,22,13,22,4,2,1,-77.02441809,-12.09217107,1.0,0.0,0.0,0.0,0.0,0.0
2014,7,15,20,196,29,1,3,-77.02441809,-12.09217107,0.0,1.0,0.0,0.0,0.0,0.0
2014,8,7,19,219,32,3,3,-77.05508990000001,-12.09194486,0.0,0.0,0.0,0.0,0.0,0.0
2014,9,15,12,258,38,0,3,-77.05168421,-12.0919079,1.0,0.0,0.0,0.0,0.0,0.0
2014,5,8,10,128,19,3,2,-77.03788486,-12.09199488,1.0,0.0,0.0,0.0,0.0,0.0
2014,4,28,8,118,18,0,2,-76.99180933,-12.09225888,1.0,0.0,0.0,0.0,0.0,0.0
2014,10,20,15,293,43,0,4,-76.98590886,-12.09224513,1.0,0.0,0.0,0.0,0.0,0.0
2014,9,8,18,251,37,0,3,-76.9854699,-12.09220488,1.0,0.0,0.0,0.0,0.0,0.0
